n_iter =  2400
dt =    0.020833
Level      ,         1,         2,         3,         4,         5,         6,         7,         8,         9,        10,        11,        12,        13,        14,        15,        16,        17,        18,        19,        20,        21,        22,        23,        24,        25
P [mbar]   ,  0.050000,  0.100397,  0.101496,  0.103442,  0.106894,  0.113018,  0.123874,  0.143196,  0.173967,  0.222622,  0.302786,  0.434943,  0.652861,  1.012068,  1.604436,  2.464588,  3.460619,  4.399371,  5.222609,  5.842584,  6.213227,  6.398020,  6.468640,  6.503950,  6.516790
Temp [K]   ,   75.4485,   81.7596,   81.8756,   82.0794,   82.4359,   83.0534,   84.1054,   85.8614,   88.4110,   91.9865,   97.0549,  104.0361,  113.4445,  125.9640,  142.5915,  162.3892,  181.9997,  198.6012,  212.1711,  221.9387,  227.6267,  230.4250,  231.4883,  232.0186,  232.2113
===============================
it  ,   tau    ,  Tsfc    ,   alb    ,   OLR    ,  dn VIS  , up  VIS  ,    ASR   , NET top  , NET bot  ,  lev   01,  lev   02,  lev   03,  lev   04,  lev   05,  lev   06,  lev   07,  lev   08,  lev   09,  lev   10,  lev   11,  lev   12,  lev   13,  lev   14,  lev   15,  lev   16,  lev   17,  lev   18,  lev   19,  lev   20,  lev   21,  lev   22,  lev   23,  lev   24,  lev   25
  33,    0.0000,  230.6076,    0.2194,  142.7015,  148.3944,   32.5520,  115.8423,  -26.4877,  -28.3209,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1040,  156.4363,  169.7873,  184.2557,  195.9464,  204.7229,  210.6682,  214.0608,  215.7040,  216.3513,  216.6852,  216.8073
  34,    0.0000,  230.5595,    0.2194,  142.4687,  148.3944,   32.5520,  115.8424,  -26.2549,  -28.0422,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1085,  156.4799,  169.8039,  184.2689,  195.9606,  204.7377,  210.6837,  214.0765,  215.7189,  216.3667,  216.7006,  216.8226
  35,    0.0000,  230.5119,    0.2194,  142.4686,  148.3944,   32.5520,  115.8424,  -26.2547,  -28.0413,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1131,  156.5237,  169.8200,  184.2820,  195.9746,  204.7522,  210.6986,  214.0912,  215.7337,  216.3816,  216.7151,  216.8371
  36,    0.0000,  230.4643,    0.2194,  142.2366,  148.3944,   32.5520,  115.8424,  -26.0228,  -27.7617,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1179,  156.5670,  169.8361,  184.2945,  195.9881,  204.7665,  210.7134,  214.1061,  215.7487,  216.3966,  216.7300,  216.8520
  37,    0.0000,  230.4172,    0.2194,  142.2414,  148.3944,   32.5520,  115.8424,  -26.0276,  -27.7545,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1228,  156.6102,  169.8522,  184.3071,  196.0016,  204.7807,  210.7265,  214.1179,  215.7623,  216.4104,  216.7440,  216.8659
  38,    0.0000,  230.3701,    0.2194,  142.0076,  148.3944,   32.5520,  115.8424,  -25.7937,  -27.4823,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1279,  156.6530,  169.8687,  184.3189,  196.0142,  204.7946,  210.7403,  214.1314,  215.7765,  216.4240,  216.7577,  216.8797
  39,    0.0000,  230.3235,    0.2194,  142.0085,  148.3944,   32.5520,  115.8424,  -25.7946,  -27.4796,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1329,  156.6958,  169.8852,  184.3307,  196.0266,  204.8078,  210.7536,  214.1442,  215.7897,  216.4372,  216.7709,  216.8927
  40,    0.0000,  230.2769,    0.2194,  141.7782,  148.3944,   32.5519,  115.8424,  -25.5643,  -27.1977,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1380,  156.7386,  169.9017,  184.3420,  196.0389,  204.8201,  210.7669,  214.1576,  215.8029,  216.4505,  216.7842,  216.9060
  41,    0.0000,  230.2307,    0.2194,  141.7771,  148.3944,   32.5519,  115.8425,  -25.5632,  -27.1970,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1434,  156.7811,  169.9177,  184.3533,  196.0510,  204.8324,  210.7797,  214.1701,  215.8147,  216.4628,  216.7966,  216.9182
  42,    0.0000,  230.1845,    0.2194,  141.5452,  148.3944,   32.5519,  115.8425,  -25.3312,  -26.9199,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1488,  156.8236,  169.9337,  184.3639,  196.0625,  204.8446,  210.7924,  214.1828,  215.8274,  216.4756,  216.8093,  216.9309
  43,    0.0000,  230.1389,    0.2194,  141.5455,  148.3944,   32.5519,  115.8425,  -25.3316,  -26.9161,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1544,  156.8655,  169.9498,  184.3746,  196.0739,  204.8564,  210.8044,  214.1946,  215.8395,  216.4876,  216.8210,  216.9425
  44,    0.0000,  230.0932,    0.2194,  141.3147,  148.3944,   32.5519,  115.8425,  -25.1007,  -26.6412,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1600,  156.9074,  169.9659,  184.3848,  196.0849,  204.8682,  210.8150,  214.2064,  215.8516,  216.4998,  216.8331,  216.9546
  45,    0.0000,  230.0480,    0.2194,  141.3138,  148.3944,   32.5519,  115.8425,  -25.0998,  -26.6357,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1659,  156.9488,  169.9821,  184.3950,  196.0958,  204.8797,  210.8261,  214.2151,  215.8622,  216.5107,  216.8441,  216.9656
  46,    0.0000,  230.0028,    0.2194,  141.3175,  148.3944,   32.5519,  115.8425,  -25.1035,  -26.6335,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1717,  156.9901,  169.9983,  184.4045,  196.1062,  204.8909,  210.8374,  214.2258,  215.8736,  216.5215,  216.8552,  216.9767
  47,    0.0000,  229.9576,    0.2194,  141.0900,  148.3944,   32.5519,  115.8425,  -24.8760,  -26.3607,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1776,  157.0316,  170.0147,  184.4138,  196.1159,  204.9017,  210.8488,  214.2371,  215.8850,  216.5327,  216.8663,  216.9878
  48,    0.0000,  229.9128,    0.2194,  141.0890,  148.3944,   32.5518,  115.8425,  -24.8750,  -26.3602,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1838,  157.0727,  170.0307,  184.4233,  196.1260,  204.9114,  210.8594,  214.2475,  215.8951,  216.5430,  216.8766,  216.9980
  49,    0.0000,  229.8681,    0.2194,  140.8585,  148.3944,   32.5518,  115.8425,  -24.6445,  -26.0800,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1900,  157.1138,  170.0467,  184.4322,  196.1356,  204.9214,  210.8699,  214.2581,  215.9056,  216.5535,  216.8871,  217.0086
  50,    0.0000,  229.8239,    0.2194,  140.8575,  148.3944,   32.5518,  115.8426,  -24.6435,  -26.0794,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.1964,  157.1544,  170.0628,  184.4412,  196.1451,  204.9311,  210.8799,  214.2678,  215.9146,  216.5631,  216.8967,  217.0179
  51,    0.0000,  229.7796,    0.2194,  140.6269,  148.3944,   32.5518,  115.8426,  -24.4129,  -25.8039,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.2028,  157.1949,  170.0789,  184.4493,  196.1541,  204.9407,  210.8898,  214.2777,  215.9246,  216.5730,  216.9066,  217.0277
  52,    0.0000,  229.7358,    0.2194,  140.6271,  148.3944,   32.5518,  115.8426,  -24.4131,  -25.8034,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.2084,  157.2356,  170.0950,  184.4577,  196.1629,  204.9499,  210.8991,  214.2867,  215.9338,  216.5822,  216.9154,  217.0366
  53,    0.0000,  229.6920,    0.2194,  140.3989,  148.3944,   32.5518,  115.8426,  -24.1849,  -25.5307,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.2142,  157.2757,  170.1112,  184.4654,  196.1713,  204.9589,  210.9084,  214.2960,  215.9432,  216.5916,  216.9247,  217.0459
  54,    0.0000,  229.6487,    0.2194,  140.4002,  148.3944,   32.5518,  115.8426,  -24.1861,  -25.5213,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.0000,  155.2201,  157.3160,  170.1268,  184.4733,  196.1797,  204.9677,  210.9157,  214.3040,  215.9517,  216.6001,  216.9333,  217.0543
